Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_900120395.1_PRJEB18035	0.270	0.309	0.714	0.406	0.382	0.599	0.491	0.531	0.741	0.051
GCF_900128445.1_PRJEB18031	95.960	96.395	97.314	96.594	93.360	93.682	97.125	94.921	94.362	93.508
GCF_900128485.1_PRJEB18048	78.258	77.106	81.621	81.556	74.729	75.499	83.849	78.145	78.680	71.149
GCF_900128495.1_PRJEB18049	2.569	2.702	3.659	3.227	4.093	4.749	3.891	4.242	4.957	1.721
GCF_900128505.1_PRJEB18032	2.470	2.634	3.536	2.640	3.285	3.450	3.063	3.461	3.751	0.876
GCF_900128905.1_IMG_taxon_2695420932_annotated_assembly	0.080	0.021	0.046	0.051	0.054	0.114	0.084	0.052	0.051	0.043
GCF_900129025.1_IMG_taxon_2695420943_annotated_assembly	42.914	42.179	49.422	49.743	43.957	47.343	52.712	47.290	51.034	33.688
GCF_900129535.1_IMG_taxon_2695420955_annotated_assembly	77.559	80.691	83.215	78.417	79.513	78.697	81.751	84.677	81.921	55.018
GCF_900129565.1_IMG_taxon_2675903007_annotated_assembly	42.239	39.633	47.937	49.236	41.019	45.150	52.429	44.311	49.060	33.447
GCF_900130025.1_IMG_taxon_2585428081_annotated_assembly	4.777	4.453	5.780	5.844	6.548	8.190	6.682	6.896	8.446	3.460
GCF_900130065.1_IMG_taxon_2585428085_annotated_assembly	7.195	6.803	9.303	9.410	9.434	10.565	10.250	9.917	11.607	4.992
GCF_900130135.1_PRJEB18269	8.497	8.516	11.023	10.797	10.832	12.196	11.492	12.062	13.612	5.069
GCF_900141755.1_IMG_taxon_2698536816_annotated_assembly	0.159	0.048	0.137	0.143	0.135	0.244	0.123	0.146	0.235	0.083
GCF_900141865.1_IMG_taxon_2585428091_annotated_assembly	-	-	-	-	-	-	-	-	0.005	-
GCF_900142115.1_IMG_taxon_2585428154_annotated_assembly	99.751	99.596	99.759	99.726	99.762	99.799	99.770	99.780	99.783	99.541
GCF_900142165.1_IMG_taxon_2585428171_annotated_assembly	96.652	76.449	89.040	98.741	98.595	98.424	98.595	99.030	98.909	97.841
GCF_900142215.1_IMG_taxon_2585428173_annotated_assembly	0.005	0.006	0.015	0.009	0.012	0.051	0.010	0.008	0.036	0.009
GCF_900142265.1_IMG_taxon_2585428190_annotated_assembly	5.460	3.764	18.061	97.593	97.648	97.923	98.010	98.471	98.453	97.310
GCF_900142645.1_IMG_taxon_2642422560_annotated_assembly	96.405	96.520	97.360	97.245	95.059	95.092	97.416	95.534	95.145	95.485
GCF_900142955.1_IMG_taxon_2588253509_annotated_assembly	61.874	62.956	68.235	68.022	61.418	63.188	71.052	64.979	66.632	52.094
GCF_900143195.1_501571.5	6.399	5.856	7.253	8.475	7.882	7.599	8.498	7.857	9.872	4.305
GCF_900143205.1_IMG_taxon_2582580726_annotated_assembly	0.271	0.232	0.445	0.355	0.524	0.824	0.599	0.564	0.784	0.227
GCF_900143645.1_IMG_taxon_2582580727_annotated_assembly	1.619	1.651	2.282	2.373	2.946	3.558	2.634	2.963	3.851	1.253
GCF_900155365.1_PRJEB18748	98.670	98.719	98.934	98.690	98.624	98.422	98.856	98.136	98.551	98.631
GCF_900155425.1_PRJEB18759	14.801	17.252	19.304	17.924	20.110	21.145	20.543	22.229	23.003	9.871
GCF_900155865.1_PRJEB18812	0.319	0.318	0.482	0.356	0.448	0.619	0.551	0.614	0.695	0.197
GCF_900157245.1_15_9	1.526	1.892	1.399	3.691	1.517	2.267	2.072	2.555	1.676	5.618
GCF_900157255.1_ATCC49417	8.639	8.275	9.493	10.232	11.495	10.519	14.305	11.279	12.850	6.855
GCF_900157265.1_A7A1_28	1.153	1.301	1.928	2.156	1.812	1.106	2.747	2.277	3.693	0.165
GCF_900157275.1_84_3	5.779	6.693	7.197	8.298	7.175	8.327	9.751	8.949	8.597	6.936
GCF_900157285.1_13_1	1.359	1.647	2.066	0.952	1.624	2.631	1.266	2.548	2.308	1.794
GCF_900157295.1_11A	3.518	3.039	3.747	4.127	4.525	5.795	7.568	6.601	7.683	5.175
GCF_900157345.1_AFR_5B1	1.322	1.724	1.671	1.632	1.510	2.580	0.705	1.639	4.081	2.183
GCF_900167005.1_IMG_taxon_2585428076_annotated_assembly	6.311	6.064	6.866	7.509	7.145	8.137	8.566	8.535	8.514	4.023
GCF_900167105.1_IMG_taxon_2582581320_annotated_assembly	11.406	10.070	13.968	14.435	13.071	15.496	16.029	14.443	16.821	7.283
GCF_900167555.1_IMG_taxon_2590828806_annotated_assembly	39.395	42.762	47.322	44.589	43.941	45.127	48.353	47.996	48.336	30.214
GCF_900168155.1_IMG_taxon_2595698220_annotated_assembly	-	-	-	-	-	-	-	-	0.002	-
GCF_900176335.1_IMG_taxon_2588254267_annotated_assembly	97.950	98.241	98.663	98.614	96.294	96.524	98.871	96.867	96.710	97.130
GCF_900184885.1_MOUSE_M89_JASPER.fasta	2.330	1.405	8.121	63.883	71.147	63.310	50.976	53.005	56.681	31.307
GCF_900184965.1_Mouse_2_MG.fasta	2.358	1.293	9.080	52.373	33.419	39.105	51.170	60.255	50.271	65.393
GCF_900184975.1_Chimpanzee_2_2.fasta	6.740	7.793	10.930	7.617	10.373	7.040	8.671	12.823	10.389	3.066
GCF_900199595.1_IMG_taxon_2623620511_annotated_assembly	24.573	25.288	29.872	29.107	28.325	30.394	32.022	30.755	32.191	17.005
GCF_900234395.1_JOUY54_assembly_v1	94.966	86.987	92.344	96.894	96.962	97.008	97.230	97.500	98.027	95.403
